SecureSky Simulation Log - 06-May-2025 16:19:49
Attacks: D4 (Spoof D1, Replay D2), D5 (NFZ Evasion), D3 (MitM), D2 (DB Tamper)
====================================
0.0 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
0.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.1 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
0.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.2 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
0.2 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
0.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.3 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
0.3 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
0.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.4 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
0.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.5 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
0.5 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
0.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.6 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
0.6 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
0.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.7 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
0.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.8 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
0.8 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
0.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
0.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
0.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
0.9 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
0.9 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
0.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
0.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.0 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
1.0 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
1.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.1 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
1.1 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
1.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.2 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
1.2 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
1.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
